PV_Size_kW,Battery_kWh,H2_Tank_kg,Tilt_Angle,Num_Panels,Total_Cost,Annual_Energy_kWh,Safety_Risk_Pct,Payback_Years,NPV_25yr,LCOE,Self_Sufficiency_Pct
8.66976182408509,10.00000263052049,5.000000000000005,21.154099396796305,34.415765598464965,1403260.032680955,17963.25842797201,0.865,7.811834575044736,514277.6006828309,3.1247338300178944,158.34332432431583
8.69901752551101,10.000121233756563,5.0447715851620965,19.999955960236253,40.83350892906684,1406838.5802783258,18079.512899100082,0.8657745484233044,7.7813964797046715,523108.95768760913,3.112558591881869,159.36808937458753
9.999999999478613,13.403802646231748,5.000002550837994,20.000587805025916,26.98732409555852,1566057.1034206296,20783.367421351115,0.8650000441294974,7.53514611790865,652520.853260634,3.01405844716346,183.20214572128447
8.000001354963594,10.000000065097705,5.000000000014401,20.35300059935094,34.02721145305744,1347000.1147937675,16611.07150109019,0.8650000000002491,8.109050127834097,426194.59047403047,3.243620051133639,146.4240072377821
9.999999999449122,10.005091320115666,5.000002658850415,20.00000008837888,26.619660685416836,1515076.4362267216,20783.39999395692,0.8650000459981122,7.2898391825555615,703504.9975073102,2.915935673022225,183.20243284372972
9.598288708125164,10.000007960997841,5.026233141006718,20.052990471957518,36.96423001959304,1481912.1994226493,19945.688471459474,0.8654538333394161,7.429737015812391,647245.4041787626,2.971894806324957,175.81813629035634
8.346549225718515,10.000005869346436,5.035628421311028,20.01131136261503,34.083129902929386,1377000.9335333277,17346.443870218915,0.8656163716886809,7.938231857985713,474693.1262916827,3.175292743194285,152.90620009889298
9.620159413416149,10.000000064957003,5.036962908543588,20.01031188634315,33.92307450908762,1484017.464414901,19993.41231403963,0.8656394583178042,7.422532187628648,650234.5525705367,2.969012875051459,176.23881452721258
9.995880170773875,11.119750748292882,5.000000509912921,20.018722752141382,35.62741586477043,1531450.2083172216,20773.800361766036,0.8650000088214935,7.372027176769445,686106.4861655058,2.9488108707077783,183.11781358161255
9.999999997693585,13.403802646231748,5.000002550837994,19.935369660014047,26.98732409555852,1566057.1032706872,20778.027042375466,0.8650000441294974,7.537082804237444,651950.7799073034,3.0148331216949775,183.15507111265782
8.749700984537574,10.00049353857331,5.0427101843617805,19.968229377368782,39.31048380638343,1411050.0403888002,18182.542567725595,0.8657388861894587,7.760466035665685,529895.6841107528,3.104186414266274,160.27627985125474
8.915288808168237,10.000039570487866,5.007987649944023,20.011548374027292,37.141853491176846,1424084.5446920507,18528.430728667452,0.8651381863440314,7.685942568728645,553783.9668508703,3.0743770274914577,163.3252300997616
9.931555455899609,11.119750748292882,5.000000509912921,20.018722752141382,37.244886234078265,1526046.9322677834,20640.118408571707,0.8650000088214935,7.3935958217857225,677239.5129069157,2.957438328714289,181.93942799216984
8.853680565039921,10.00045426621822,5.0427101843617805,19.968229377368782,35.84720969399393,1419783.736065671,18398.620025915225,0.8657388861894587,7.716794705612956,544227.7734896159,3.0867178822451824,162.180968979816
9.504780550377777,10.00000079143955,5.024568767362755,19.998873314538894,30.959089081588097,1474015.7972873955,19754.076582147398,0.8654250396753758,7.461830934782983,634687.6659792259,2.984732373913193,174.12910733965708
8.737291865159037,10.000005508002413,5.013493087654324,20.00010922515486,35.035815005648395,1409269.9264847534,18159.05788589733,0.8652334304164199,7.7606995656928826,529168.8607910303,3.104279826277153,160.06926603990772
8.71579414242423,10.006974236998802,5.012044809090942,20.006333905224725,35.61519736560765,1407532.4417458908,18114.07763852887,0.8652083751972732,7.770378761941772,526104.8047942361,3.1081515047767083,159.67277216738393
9.172144411782758,10.000214649088937,5.008948783185342,20.000096907828453,34.70194177837313,1445687.0699057195,19062.82969055016,0.8651548139491063,7.583801006323718,589227.3347723216,3.0335204025294873,168.03587368813223
8.009914339978456,10.000212755711386,5.022154725526489,20.000199997052267,26.501332543041045,1348389.8640320234,16647.316490908153,0.8653832767516082,8.099743071313863,428673.91277841874,3.2398972285255456,146.74350117597209
8.95765522077946,10.000001440286757,5.000110867169257,20.000506288801535,36.76292552371453,1427445.8318290075,18617.028016606706,0.8650019180020283,7.667420549379318,559880.2419105885,3.066968219751727,164.10620138927857
8.219711726900773,10.00000066441824,5.004271186943821,20.007407212863107,26.240221152073207,1365562.574699534,17083.018230348636,0.8650738915341281,7.993684466563174,458011.3876459671,3.1974737866252694,150.58414412577582
9.12371728781259,10.000034411191582,5.001979609849295,19.99918855289408,34.524853714040106,1441442.2585903637,18962.125040706702,0.8650342472503928,7.601691558809816,582722.1501053863,3.040676623523926,167.1481778897854
8.106849158725042,10.00015269422119,5.00445426185598,19.99689778462642,34.31926299803206,1356088.9762926209,16848.579806257036,0.8650770587301084,8.048684173303508,442459.20898104785,3.2194736693214034,148.51760594347073
8.354774559075192,10.000013664021852,5.025696633479614,19.999860211485277,37.43065464430929,1377443.6837596344,17364.052447922502,0.8654445517591973,7.932731647124441,476130.05232522776,3.173092658849776,153.06141696789194
9.69967264197836,10.000001517834058,5.019372078743055,20.00051257545799,37.61463550373918,1490256.8266622694,20159.190083742065,0.8653351369622548,7.392443944779945,661691.596209337,2.956977577911978,177.70011973856992
8.32729926617343,10.000001209155489,5.00592020647772,20.00049727611147,35.087477689609926,1374641.1616578433,17306.936206625953,0.8651024195720645,7.94271814055432,472835.54350127815,3.177087256221728,152.55794619970868
9.40482685963928,10.000000015445282,5.026233141006718,19.999664162376025,36.96423001959304,1465661.2849665466,19546.401597759144,0.8654538333394161,7.498368830887902,620873.3385169429,2.999347532355161,172.29848470852966
